Timestamp,Location,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth
3/9/2023 10:00,Location X,-121,76,0.37,0.37
3/9/2023 10:01,Location X,-59,29,4.5,4.8
3/9/2023 10:02,Location X,-83,34,3.2,3.5
3/9/2023 10:03,Location X,-53,37,12.9,14.2
3/9/2023 10:04,Location X,-43,5,0.5,0.5
3/9/2023 10:05,Location X,-100,51,2.3,2.8
3/9/2023 10:06,Location X,-59,5,0.9,1.1
3/9/2023 10:07,Location X,-101,52,2.2,2.7
3/9/2023 10:08,Location X,-99,46,0.62,0.62
3/9/2023 10:09,Location X,-62,28,12,13.3
3/9/2023 10:10,Location X,-101,46,2.2,2.6
3/9/2023 10:11,Location X,-100,51,2.3,2.8
3/9/2023 10:12,Location X,-90,29,4,4.3
3/9/2023 10:13,Location X,-50,40,13.2,14.5
3/9/2023 10:14,Location X,-104,12,0.2,0.2
3/9/2023 10:15,Location X,-82,28,10.7,12.2
3/9/2023 10:16,Location X,-84,20,0.165,0.185
3/9/2023 10:17,Location X,-78,25,2.4,2.7
3/9/2023 10:18,Location X,-48,5,0.5,0.5
3/9/2023 10:19,Location X,-55,5,0.7,0.8
3/9/2023 10:20,Location X,-91,48,0.6,0.6
3/9/2023 10:21,Location X,-92,25,0.8,0.8
3/9/2023 10:22,Location X,-79,33,4.3,4.8
3/9/2023 10:23,Location X,-106,57,1.7,2.2
3/9/2023 10:24,Location X,-97,48,2.6,3.1
3/9/2023 10:25,Location X,-66,42,0.02,0.045
3/9/2023 10:26,Location X,-62,26,4.2,4.5
3/9/2023 10:27,Location X,-86,31,3.6,3.9
3/9/2023 10:28,Location X,-105,60,0.53,0.53
3/9/2023 10:29,Location X,-102,57,0.56,0.56
3/9/2023 10:30,Location X,-55,5,0.7,0.8
3/9/2023 10:31,Location X,-85,23,0.115,0.14
3/9/2023 10:32,Location X,-44,44,6,6.3
3/9/2023 10:33,Location X,-57,5,0.7,0.8
3/9/2023 10:34,Location X,-67,21,3.7,4
3/9/2023 10:35,Location X,-111,66,0.47,0.47
3/9/2023 10:36,Location X,-107,5,0.1,0.1
3/9/2023 10:37,Location X,-87,32,3.6,4
3/9/2023 10:38,Location X,-101,18,0.4,0.4
3/9/2023 10:39,Location X,-84,38,4.5,5
3/9/2023 10:40,Location X,-85,28,1.5,1.5
3/9/2023 10:41,Location X,-73,28,10.5,12.5
